"SPECIES_CODE","SPECIES_COMMON","SPECIES_SCIENTIFIC","SOURCE_DOCUMENT","YEAR_START","YEAR_END","YEAR_PUBLISHED","YEAR_INTERNAL","PACFIN_SPID_CODE","COMMENTS","FISH_TICKET_REPORT_NAMES"
"250","tomcod, Pacific","Microgadus proximus","AFS Fishes, 5th ed, 1991","1979","","1978","","","",""
"260","Pacific flatnose","Antimora microlepis","AFS Fishes, 5th ed, 1991","1981","","1978","","","Prior to 1999 common name documented as longfin cod",""
"270","pollock, walleye","Theragra chalcogramma","AFS Fishes, 5th ed, 1991","1969","","1969","","PLCK","",""
"310","Macroalgae Codes","reserved","","","","","","","",""
"311","Macroalgae Codes","reserved","","","","","","","",""
"312","Macroalgae Codes","reserved","","","","","","","",""
"313","Macroalgae Codes","reserved","","","","","","","",""
"314","Macroalgae Codes","reserved","","","","","","","",""
"315","Macroalgae Codes","reserved","","","","","","","",""
"316","Macroalgae Codes","reserved","","","","","","","",""
"317","Macroalgae Codes","reserved","","","","","","","",""
"318","Macroalgae Codes","reserved","","","","","","","",""
"319","Macroalgae Codes","reserved","","","","","","","",""
"320","Macroalgae Codes","reserved","","","","","","","",""
"321","Macroalgae Codes","reserved","","","","","","","",""
"322","Macroalgae Codes","reserved","","","","","","","",""
"323","Macroalgae Codes","reserved","","","","","","","",""
"324","Macroalgae Codes","reserved","","","","","","","",""
"325","Macroalgae Codes","reserved","","","","","","","",""
"326","Macroalgae Codes","reserved","","","","","","","",""
"327","Macroalgae Codes","reserved","","","","","","","",""
"328","Macroalgae Codes","reserved","","","","","","","",""
"185","rockfish, aurora ","Seabastes aurora","AFS Fishes, 5th ed, 1991","1996","","1996","","ARRA","","Rockfish        "
"190","greenling, general","genus Hexagrammidae","AFS Fishes, 5th ed, 1991","1979","","1979","","","",""
"191","greenling, rock","Hexagrammos  lagocephalus","AFS Fishes, 5th ed, 1991","1979","","1979","","RCKG","",""
"192","greenling, whitespot","Hexagrammos stelleri","AFS Fishes, 5th ed, 1991","1984","","1969","","","",""
"193","greenling, atka mackerel","Pleurogrammus monopterygius","AFS Fishes, 5th ed, 1991","1979","","1979","","AMCK","",""
"194","greenling, kelp","Hexagrammos decagrammus","AFS Fishes, 5th ed, 1991","1989","","1969","","KLPG","",""
"200","halibut, Pacific","Hippoglossus stenolepis","AFS Fishes, 5th ed, 1991","1969","","1969","","PHLB","","Halibut         "
"206","Pacific sand fish","family Trichodontidae","AFS Fishes, 5th ed, 1991","1999","","1999","","","Forage fish group",""
"207","gunnels","family Pholidae","AFS Fishes, 5th ed, 1991","1999","","1999","","","Forage fish group",""
"208","prickleback, warbonnet, ellblenny, cockscome, shanny","family Stichaeidae","AFS Fishes, 5th ed, 1991","1999","","1999","","","Forage fish group",""
"209","bristlemouth, lightfish, anglemouth","family Gonostomatidae","AFS Fishes, 5th ed, 1991","1999","","1999","","","Forage fish group",""
"210","eels or eel-like fish","Multiple Families","AFS Fishes, 5th ed, 1991","1979","","1979","","EELS","",""
"211","wrymouths","family Cryptacanthodidae","AFS Fishes, 5th ed, 1991","1983","","1979","","","",""
"212","hagfish, Pacific","Eptatretus stouti","AFS Fishes, 5th ed, 1991","1989","","1982","","UHAG","",""
"213","grenadier (rattail)","family Macrouridae","AFS Fishes, 5th ed, 1991","1990","","1982","","GRDR","",""
"214","grenadier, giant","Albatrossia pectoralis","AFS Fishes, 5th ed, 1991","1999","","1999","","","",""
"215","prowfish","Zaprora silenus","AFS Fishes, 5th ed, 1991","2000","","","","","",""
"216","lumpsucker, smooth","Aptocyclus ventricosus","AFS Fishes, 5th ed, 1991","2000","","","","","",""
"167","rockfish, blue","Sebastes mystinus","AFS Fishes, 5th ed, 1991","1992","","1979","1999","BLUR","","Rockfish        "
"168","rockfish, unspecified demersal","","","1985","","","1989","UDSR","NMFS group code - State requires individual rockfish identification/documentation on fish tickets.      DSR assemblage - as defined by Region I.  ","Rockfish        "
"169","rockfish, unspecified pelagic","","","1988","","","1989","UPLG","NMFS group code - State requires individual rockfish identific","Rockfish        "
"170","sardine, Pacific (pilchard)","Sardinops sagax","AFS Fishes, 5th ed, 1991","1983","","1983","","PSDN","",""
"171","rockfish, shortraker/rougheye","Sebastes aleutianus/Sebastes borealis group code","","1991","","","1988","UDW1","NMFS group code - State requires individual rockfish identification/documentation on fish tickets.","Rockfish        "
"175","rockfish, yellowmouth","Sebastes reedi","AFS Fishes, 5th ed, 1991","1988","","1969","","YMTH","","Rockfish        "
"176","rockfish, harlequin","Sebastes variegatus","AFS Fishes, 5th ed, 1991","1993","","1993","","HLQN","","Rockfish        "
"177","rockfish, blackgill","Sebastes melanostomus","AFS Fishes, 5th ed, 1991","1995","","1993","","BLGL","","Rockfish        "
"178","rockfish, chilipepper","Sebastes goodei","AFS Fishes, 5th ed, 1991","1999","","1999","","CLPR","","Rockfish        "
"179","rockfish, pygmy","Sebastes wilsoni","AFS Fishes, 5th ed, 1991","1999","","1999","","PGMY","","Rockfish        "
"180","shad, American","Alosa sapidissima","AFS Fishes, 5th ed, 1991","1995","","1969","","SHAD","",""
"181","rockfish, shortbelly","Sebastes jordani","AFS Fishes, 5th ed, 1991","1995","","1993","","SBLY","","Rockfish        "
"183","rockfish, stripetail","Sebastes saxicola","AFS Fishes, 5th ed, 1991","1999","","1999","","STRK","","Rockfish        "
"184","rockfish, vermilion","Sebastes miniatus","AFS Fishes, 5th ed, 1991","1994","","1993","","VRML","","Rockfish        "
"148","rockfish, tiger","Sebastes nigrocinctus","AFS Fishes, 5th ed, 1991","1984","","1969","","TIGR","","Rockfish        "
"149","rockfish, china","Sebastes nebulosus","AFS Fishes, 5th ed, 1991","1984","","1969","","CHNA","","Rockfish        "
"150","rockfish, rosethorn","Sebastes helvomaculatus","AFS Fishes, 5th ed, 1991","1984","","1969","","RSTN","","Rockfish        "
"151","rockfish, rougheye","Sebastes aleutianus","AFS Fishes, 5th ed, 1991","1984","","1969","","REYE","","Rockfish        "
"152","rockfish, shortraker","Sebastes borealis","AFS Fishes, 5th ed, 1991","1984","","1969","","SRKR","","Rockfish        "
"153","rockfish, redbanded","Sebastes babcocki","AFS Fishes, 5th ed, 1991","1984","","1969","","RDBD","","Rockfish        "
"154","rockfish, dusky","Sebastes ciliatus","AFS Fishes, 5th ed, 1991","1984","2007","1969","","DUSK","","Rockfish        "
"155","rockfish, yellowtail","Sebastes flavidus","AFS Fishes, 5th ed, 1991","1984","","1969","","YTRK","","Rockfish        "
"156","rockfish, widow","Sebastes entomelas","AFS Fishes, 5th ed, 1991","1984","","1969","","WDOW","","Rockfish        "
"157","rockfish, silvergray","Sebastes brevispinis","AFS Fishes, 5th ed, 1991","1984","","1969","","SLGR","","Rockfish        "
"158","rockfish, redstripe","Sebastes proriger","AFS Fishes, 5th ed, 1991","1984","","1969","","REDS","","Rockfish        "
"159","rockfish, darkblotched","Sebastes crameri","AFS Fishes, 5th ed, 1991","1984","","1969","","DBRK","","Rockfish        "
"160","sculpin, general","family Cottidae","AFS Fishes, 5th ed, 1991","1969","","1969","","SCLP","",""
"161","sculpin, coastrange","Cottus aleuticus","AFS Fishes, 5th ed, 1991","1989","","1979","1999","","",""
