"SPECIES_CODE","SPECIES_COMMON","SPECIES_SCIENTIFIC","SOURCE_DOCUMENT","YEAR_START","YEAR_END","YEAR_PUBLISHED","YEAR_INTERNAL","PACFIN_SPID_CODE","COMMENTS","FISH_TICKET_REPORT_NAMES"
"963","shrimp, humpy","Pandalus goniurus","AFS Crustaceans, 1989","1978","","1978","","","",""
"964","shrimp, coonstriped","Pandalus hypsinotus","AFS Crustaceans, 1989","1974","","1974","","","",""
"965","shrimp, spot","Pandalus platyceros","AFS Crustaceans, 1989","1974","","1974","","SPRW","",""
"998","Interim Value","","","1969","","","","","The code actually originated in 2000",""
"999","Missing value","","","1969","","","","","The code actually originated in 2000.  Default interim code to utilize until correct species is determined.",""
"715","skilfish","Erilepis zonifer","AFS Fishes, 5th ed, 1992","2000","","1999","","","",""
"182","rockfish, splitnose","Sebastes diploproa","AFS Fishes, 5th ed, 1991","1999","","1999","","SNOS","","Rockfish        "
"531","Dolly Varden (anadromous)","Salvelinus malma","AFS Fishes, 5th ed, 1991","1969","","1969","","","","Char            "
"561","trout, cutthroat (anadromous)","Oncorhynchus clarki","AFS Fishes, 5th ed, 1991","1969","","1969","1999","","","Trout           "
"112","Pacific hake","Merluccius productus","AFS Fishes, 5th ed, 1991","2004","","2004","","","",""
"666","salmon, Atlantic","Salmo salar","AFS Fishes, 5th ed, 1991","2002","","","2002","","Age Lab code",""
"117","Kamchatka flounder","Atheresthes evermanni","AFS Fishes, 5th ed, 1991","2011","","2011","","","",""
"218","Snailfish, general","Liparis/Careproctus","AFS Fishes, 5th ed, 1991","2007","","2007","","","",""
"219","Poacher, general","family Agonidae","AFS Fishes, 5th ed, 1991","2007","","2007","","","",""
"116","Bering flounder","Hippoglossoides robustus","AFS Fishes, 5th ed, 1991","2008","","2008","","","",""
"172","rockfish, dusky","Sebastes variabilis","NMFS Council Action","2008","","2008","","DUSK","","Rockfish        "
"173","rockfish, dark","Sebastes ciliatus","NMFS Council Action","2008","","2008","","DARK","","Rockfish        "
"850","scallop, weathervane","Patinopecten caurinus","AFS Mollusks, 2nd ed, 1998","1969","","1969","","","",""
"851","scallop, pink (or calico)","species Chlamys ","AFS Mollusks, 2nd ed, 1998","1983","","1983","","","",""
"855","blue mussel","Mytilus trossulus or Mytilus edulis","AFS Mollusks, 2nd ed, 1998","1983","","1983","","BMSL","",""
"860","abalone, northern (pinto)","Haliotis kamtschatkana","AFS Mollusks, 2nd ed, 1998","1971","","1971","","","",""
"870","octopus, North Pacific","Octopus dofleini","AFS Mollusks, 2nd ed, 1998","1976","","1976","","OCTP","",""
"875","squid, majestic","Berryteuthis magister","AFS Mollusks, 2nd ed, 1998","1983","","1983","","MSQD","",""
"880","oysters, Pacific","Crassostrea gigas","AFS Mollusks, 2nd ed, 1998","1983","","1983","","PSTR","",""
"890","snails","genus Neptunea","AFS Mollusks, 2nd ed, 1998","1978","","1978","","","",""
"892","red sea urchin","Strongylocentrotus franciscanus","AFS Mollusks, 2nd ed, 1998","1982","","1983","","RURC","",""
"893","green sea urchin","Strongylocentrotus droebachiensis","AFS Mollusks, 2nd ed, 1998","1983","","1983","","","",""
"894","red sea cucumber","Parustichopus californicus","AFS Mollusks, 2nd ed, 1998","1999","","1999","","","",""
"895","sea cucumber","class Holothuroidea","AFS Mollusks, 2nd ed, 1998","1983","","1983","","USCU","",""
"896","sea urchin","class Ehinodea","AFS Mollusks, 2nd ed, 1998","1980","","1980","2000","UURC","",""
"899","coral","genus Corallium","","1978","","1978","","","",""
"900","crab,box","Lopholithodes foraminatus","AFS Crustaceans, 1989","1983","","1983","","","",""
"910","crab, Dungeness","Cancer magister","AFS Crustaceans, 1989","1969","","1969","","DCRB","",""
"920","crab, king (general)","genus Lithodes and genus Paralithodes","AFS Crustaceans, 1989","1969","","1969","","UKCR","",""
"921","crab, red king","Paralithodes camtschaticus","AFS Crustaceans, 1989","1976","","1976","","RKCR","",""
"922","crab, blue king","Paralithodes platypus","AFS Crustaceans, 1989","1976","","1976","","BKCR","",""
"751","mahi mahi/ dolphin","Coryphaena hippurus","AFS Fishes, 5th ed, 1991","1993","","","1993","","",""
"752","mako shark","genus Isurus","AFS Fishes, 5th ed, 1991","1993","","","1993","MAKO","",""
"753","tuna, big eye","Thunnus obesus","AFS Fishes, 5th ed, 1991","1993","","","1993","","",""
"754","striped marlin","Tetrapturus audax","AFS Fishes, 5th ed, 1991","1993","","","1993","","",""
"755","tuna, yellowfin","Thunnus albacares","AFS Fishes, 5th ed, 1991","1993","","","1993","YTNA","",""
"756","pompano Pacific","Peprilus simillimus","AFS Fishes, 5th ed, 1991","1993","","","1993","","",""
"757","mackerel, chub","Scomber japonicus","AFS Fishes, 5th ed, 1991","1999","","","1993","CMCK","",""
"772","lanternfish","family Myctophidae","AFS Fishes, 5th ed, 1991","1999","","1999","","","Forage fish group",""
"773","deep-sea smelts","family Bathylagidae","AFS Fishes, 5th ed, 1991","1999","","1999","","","Forage fish group",""
"774","Pacific sand lance","family Ammodytidae","AFS Fishes, 5th ed, 1991","1999","","1999","","","Forage fish group",""
"800","Krill","order Euphausiacea","AFS Fishes, 5th ed, 1991","1999","","1999","","","Forage fish group",""
"810","clam, Washington butter","Saxidomus gigantea","AFS Mollusks, 2nd ed, 1998","1981","","1981","","BCLM","",""
"812","clam, Arctic surf","Mactromeris polynyma","AFS Mollusks, 2nd ed, 1998","1983","","1983","","","",""
"815","clam, Pacific geoduck","Panopea abrupta","AFS Mollusks, 2nd ed, 1998","1980","","1980","","GDUK","",""
"820","clam, cockle","Clinocardium nuttalli","AFS Mollusks, 2nd ed, 1998","1973","","1973","","CKLE","",""
"825","clam, horse","Tresus capax","AFS Mollusks, 2nd ed, 1997","1991","","","1991","HCLM","",""
"830","clam, Pacific razor","Siliqua patula","AFS Mollusks, 2nd ed, 1998","1969","","1969","","RCLM","",""
"840","clam, Pacific little-neck","Protothaca staminea","AFS Mollusks, 2nd ed, 1998","1983","","1983","","LCLM","",""
"842","clam, eastern softshell","Mya arenaria","AFS Mollusks, 2nd ed, 1998","1983","","1983","","SCLM","",""
"650","lake chub","Couesius plumbeus","AFS Fishes, 5th ed, 1991","1983","","1983","1999","","",""
"660","stickleback, threespine","Gasterosteus aculeatus","AFS Fishes, 5th ed, 1991","1983","","1983","1999","","",""
"661","stickleback, ninespine","Pungittus pungitius","AFS Fishes, 5th ed, 1991","1983","","1983","1999","","",""
"670","trout perch","Percopsis omiscomaycus","AFS Fishes, 5th ed, 1991","1983","","1983","1999","","",""
"680","sturgeon, general","genus Acipenser","AFS Fishes, 5th ed, 1991","1983","","1983","1999","USTG","",""
"681","sturgeon, green","Acipenser medirostris","AFS Fishes, 5th ed, 1991","1983","","","1999","GSTG","",""
"682","sturgeon, white","Acipenser transmontanus","AFS Fishes, 5th ed, 1991","1983","","","1999","WSTG","",""
"683","sturgeon, siberian","acipenser baeri ","Fishes pf Northern Seas pf the USSR","1983","","","1999","","",""
"689","shark, other","order Lamniformes and Squaliformes","AFS Fishes, 5th ed, 1991","1979","","1969","","USRK","",""
